Country,ABRV,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2004,2003,2002,2001,2000,1998,1997,1996
Hungary,HUN,Flawed Democracy,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Flawed Democracy
Indonesia,IDN,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
India,IND,Flawed Democracy,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Flawed Democracy,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Ireland,IRL,Democracy,Flawed Democracy,Flawed Democracy,Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Flawed Democracy,Democracy,Flawed Democracy,Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy
Iran,IRN,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Iraq,IRQ,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Iceland,ISL,Democracy,Flawed Democracy,Democracy,Democracy,Flawed Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Flawed Democracy,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Israel,ISR,Flawed Democracy,Hybrid Regime,Democracy,Flawed Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Flawed Democracy,Democracy,Hybrid Regime,Flawed Democracy,Flawed Democracy
Italy,ITA,Democracy,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Flawed Democracy
Jamaica,JAM,Flawed Democracy,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime
Jordan,JOR,Authoritarian regimes,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Japan,JPN,Flawed Democracy,Flawed Democracy,Flawed Democracy,Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Authoritarian regimes
Kazakhstan,KAZ,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Kenya,KEN,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Kyrgyz Republic,KGZ,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Cambodia,KHM,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Korea,KOR,Flawed Democracy,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Authoritarian regimes
Kuwait,KWT,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Flawed Democracy,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime
Lao PDR,LAO,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Lebanon,LBN,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime
Liberia,LBR,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Democracy,Democracy,Democracy,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Libya,LBY,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Liechtenstein,LIE,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Sri Lanka,LKA,Flawed Democracy,Authoritarian regimes,Authoritarian regimes,Flawed Democracy,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Flawed Democracy,Authoritarian regimes,Authoritarian regimes,Flawed Democracy,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Lesotho,LSO,Flawed Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Lithuania,LTU,Flawed Democracy,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Flawed Democracy,Authoritarian regimes,Hybrid Regime,Flawed Democracy,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime
Luxembourg,LUX,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Latvia,LVA,Flawed Democracy,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Flawed Democracy,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime
Kosovo,KSV,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
"Macao SAR, China",MAC,Hybrid Regime,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Morocco,MAR,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Hybrid Regime,Hybrid Regime
Moldova,MDA,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Madagascar,MDG,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Mexico,MEX,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Macedonia,MKD,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Mali,MLI,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Democracy,Democracy,Democracy,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Malta,MLT,Democracy,Flawed Democracy,Flawed Democracy,Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Democracy,Flawed Democracy,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Myanmar,MMR,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Mongolia,MNG,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Democracy,Democracy,Democracy,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Montenegro,MNE,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Democracy,Democracy,Democracy,Democracy,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Mozambique,MOZ,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime
Mauritania,MRT,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Democracy,Democracy,Democracy,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Mauritius,MUS,Flawed Democracy,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Flawed Democracy
Malawi,MWI,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Malaysia,MYS,Hybrid Regime,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Flawed Democracy,Authoritarian regimes,Authoritarian regimes,Flawed Democracy,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Hybrid Regime,Authoritarian regimes
Namibia,NAM,Flawed Democracy,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime
Niger,NER,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Democracy,Democracy,Democracy,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Nigeria,NGA,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Nicaragua,NIC,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime
Netherlands,NLD,Democracy,Flawed Democracy,Flawed Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy
Norway,NOR,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Flawed Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy
Nepal,NPL,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Democracy,Democracy,Democracy,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,No Data,No Data,No Data,No Data,No Data,No Data
New Zealand,NZL,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy
Oman,OMN,Authoritarian regimes,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Authoritarian regimes
Pakistan,PAK,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Panama,PAN,Flawed Democracy,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Flawed Democracy,Authoritarian regimes,Authoritarian regimes,Flawed Democracy,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime
Peru,PER,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime
Philippines,PHL,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime
Papua New Guinea,PNG,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime
Poland,POL,Flawed Democracy,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Authoritarian regimes,Flawed Democracy,Authoritarian regimes,Authoritarian regimes,Flawed Democracy,Authoritarian regimes,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Flawed Democracy
Puerto Rico,PRI,Flawed Democracy,Authoritarian regimes,Authoritarian regimes,Flawed Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Dem. Rep. Korea,PRK,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Democracy,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,No Data,No Data,No Data,No Data,No Data,No Data
Portugal,PRT,Democracy,Hybrid Regime,Flawed Democracy,Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Democracy,Hybrid Regime,Hybrid Regime,Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Democracy,Flawed Democracy,Flawed Democracy,Democracy
Paraguay,PRY,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Qatar,QAT,Authoritarian regimes,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Democracy,Democracy,Flawed Democracy,Flawed Democracy,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Authoritarian regimes
Romania,ROM,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Flawed Democracy,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Russia,RUS,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Rwanda,RWA,Authoritarian regimes,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Saudi Arabia,SAU,Authoritarian regimes,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Sudan,SDN,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
